Title	Line 100
Dim	1
Geo	NON-UTM	0	-9000	90
Time	2000-01-01	00:00:00	1	5
NoGridPoints	201
Spacing	50
NoStaticItems	1
NoDynamicItems	32
Item	Sign. Wave Height	Significant wave height	meter
Item	Max. Wave Height	Maximum wave height	meter
Item	Peak Wave Period	Wave period	second
Item	Wave Period, T01	Wave period	second
Item	Peak Wave Direction	Wave direction	radian
Item	Mean Wave Direction	Mean Wave Direction	degree
Item	Dir. Stand. Deviation	Directional Standard Deviation	degree
Item	x-comp. of wave height vector	u-velocity component	meter/sec
Item	y-comp. of wave height vector	v-velocity component	meter/sec
Item	Rad. Stress, Sxx	Radiation Stress	meter^3/sec^2
Item	Rad. Stress, Sxy	Radiation Stress	meter^3/sec^2
Item	Rad. Stress, Syy	Radiation Stress	meter^3/sec^2
Item	Horiz. particle vel., bed	Horizontal particle velocity	meter/sec
Item	Horiz. particle vel., surface	Horizontal particle velocity	meter/sec
Item	Vert. particle vel., surface	Vertical particle velocity	meter/sec
Item	Horiz. particle vel., z-level	Horizontal particle velocity	meter/sec
Item	Vert. particle vel., z-level	Vertical particle velocity	meter/sec
Item	Wave power, P	Wave Power	kW/meter
Item	Wave power, Px	Wave Power	kW/meter
Item	Wave power, Py	Wave Power	kW/meter
Item	x-comp. of Stokes drift	u-velocity component	meter/sec
Item	y-comp. of Stokes drift	v-velocity component	meter/sec
Item	Surface elevation	Surface Elevation	meter
Item	Water depth	Water Depth	meter
Item	Current velocity, U	u-velocity component	meter/sec
Item	Current velocity, V	v-velocity component	meter/sec
Item	Friction coefficient	Friction Coefficient	meter^2/sec
Item	Breaking par., gamma	Breaking parameter, Gamma	()
Item	Conv. angle	Angle	radian
Item	Length	Element length	meter
Item	Area	Element area	meter^2
Item	Breaking index	Undefined	percent
NoCustomBlocks	1
M21_Misc	1	7	90	0	-9000	0	0	0	0
Delete	-1E-30
DataType	0

tstep	0
11.8771	21.8022	15.4	12.782	4.61999	270	24.9219	11.8771	0	37.874	1.66412E-15	8.37701	0.230776	2.69554	2.68565	0.230776	0	965.851	874.482	2.87401E-14	0.151637	1.28238E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8771	21.8023	15.4	12.782	4.61999	270	24.9224	11.8771	0	37.874	1.5083E-15	8.37718	0.230776	2.69555	2.68565	0.230776	0	965.855	874.482	3.7906E-14	0.151637	1.04022E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8771	21.8023	15.4	12.782	4.61999	270	24.9228	11.8771	0	37.874	1.35247E-15	8.37734	0.230777	2.69555	2.68566	0.230777	0	965.858	874.482	4.70719E-14	0.151637	7.98059E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8772	21.8024	15.4	12.782	4.66619	270	24.9237	11.8772	0	37.8741	1.40042E-15	8.37767	0.230778	2.69556	2.68567	0.230778	0	965.865	874.482	5.00339E-14	0.151637	8.06802E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8772	21.8025	15.4	12.782	4.71239	270	24.9245	11.8772	0	37.8741	1.44838E-15	8.37799	0.230778	2.69557	2.68568	0.230778	0	965.872	874.482	5.29958E-14	0.151637	8.15544E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8773	21.8026	15.4	12.782	4.75859	270	24.9253	11.8773	0	37.8741	1.51381E-15	8.3783	0.230779	2.69558	2.68569	0.230779	0	965.879	874.482	4.41864E-14	0.151637	9.25511E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8773	21.8026	15.4	12.782	4.80479	270	24.9261	11.8773	0	37.8741	1.57925E-15	8.37861	0.23078	2.69559	2.68569	0.23078	0	965.885	874.482	3.5377E-14	0.151637	1.03548E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8773	21.8027	15.4	12.782	4.75859	270	24.9266	11.8773	0	37.8741	1.5718E-15	8.37879	0.23078	2.6956	2.6857	0.23078	0	965.889	874.482	3.63904E-14	0.151637	9.20873E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8773	21.8027	15.4	12.782	4.71239	270	24.9271	11.8773	0	37.8741	1.56435E-15	8.37897	0.230781	2.6956	2.68571	0.230781	0	965.893	874.482	3.74039E-14	0.151637	8.06269E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8774	21.8028	15.4	12.782	4.66619	270	24.9275	11.8774	0	37.8741	1.87422E-15	8.37914	0.230781	2.69561	2.68571	0.230781	0	965.896	874.482	3.68425E-14	0.151637	9.42176E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8774	21.8028	15.4	12.782	4.61999	270	24.928	11.8774	0	37.8741	2.18408E-15	8.37931	0.230782	2.69561	2.68572	0.230782	0	965.9	874.482	3.62812E-14	0.151637	1.07808E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8774	21.8029	15.4	12.782	4.61999	270	24.9287	11.8774	0	37.8741	2.36206E-15	8.37959	0.230782	2.69562	2.68572	0.230782	0	965.906	874.482	3.2315E-14	0.151637	1.33583E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8775	21.8029	15.4	12.782	4.61999	270	24.9295	11.8775	0	37.8741	2.54004E-15	8.37987	0.230783	2.69563	2.68573	0.230783	0	965.912	874.482	2.83489E-14	0.151637	1.59359E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8775	21.803	15.4	12.782	4.64309	270	24.9302	11.8775	0	37.8741	2.33692E-15	8.38014	0.230784	2.69564	2.68574	0.230784	0	965.918	874.482	2.5044E-14	0.151637	1.83031E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8775	21.8031	15.4	12.782	4.66619	270	24.9309	11.8775	0	37.8741	2.1338E-15	8.38041	0.230785	2.69565	2.68575	0.230785	0	965.924	874.482	2.17391E-14	0.151637	2.06704E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8776	21.8031	15.4	12.782	4.66619	270	24.9316	11.8776	0	37.8741	1.98904E-15	8.38067	0.230785	2.69565	2.68576	0.230785	0	965.929	874.482	2.14495E-14	0.151637	1.97182E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8776	21.8032	15.4	12.782	4.66619	270	24.9323	11.8776	0	37.8741	1.84428E-15	8.38093	0.230786	2.69566	2.68576	0.230786	0	965.935	874.482	2.116E-14	0.151637	1.8766E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8776	21.8033	15.4	12.782	4.64309	270	24.9329	11.8776	0	37.8741	1.97802E-15	8.38118	0.230786	2.69567	2.68577	0.230786	0	965.94	874.482	2.24762E-14	0.151637	1.69307E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8777	21.8033	15.4	12.782	4.61999	270	24.9336	11.8777	0	37.8741	2.11176E-15	8.38142	0.230787	2.69568	2.68578	0.230787	0	965.945	874.482	2.37925E-14	0.151637	1.50954E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8777	21.8034	15.4	12.782	4.66619	270	24.9342	11.8777	0	37.8741	2.18026E-15	8.38166	0.230788	2.69568	2.68579	0.230788	0	965.95	874.482	2.67271E-14	0.151637	1.44305E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8777	21.8034	15.4	12.782	4.71239	270	24.9348	11.8777	0	37.8741	2.24875E-15	8.38189	0.230788	2.69569	2.68579	0.230788	0	965.955	874.482	2.96616E-14	0.151637	1.37656E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8778	21.8035	15.4	12.782	4.73549	270	24.9354	11.8778	0	37.8741	2.32277E-15	8.38212	0.230789	2.6957	2.6858	0.230789	0	965.96	874.482	3.08003E-14	0.151637	1.35244E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8778	21.8035	15.4	12.782	4.75859	270	24.936	11.8778	0	37.8742	2.39678E-15	8.38235	0.230789	2.6957	2.68581	0.230789	0	965.965	874.482	3.19389E-14	0.151637	1.32832E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8778	21.8036	15.4	12.782	4.73549	270	24.9363	11.8778	0	37.8742	2.2021E-15	8.38248	0.23079	2.69571	2.68581	0.23079	0	965.968	874.482	2.86011E-14	0.151637	1.17462E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8778	21.8036	15.4	12.782	4.71239	270	24.9367	11.8778	0	37.8742	2.00743E-15	8.38261	0.23079	2.69571	2.68581	0.23079	0	965.97	874.482	2.52633E-14	0.151637	1.02093E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8778	21.8036	15.4	12.782	4.71239	270	24.937	11.8778	0	37.8742	1.74448E-15	8.38273	0.23079	2.69571	2.68582	0.23079	0	965.973	874.482	2.51692E-14	0.151637	1.08463E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8779	21.8037	15.4	12.782	4.71239	270	24.9373	11.8779	0	37.8742	1.48154E-15	8.38286	0.230791	2.69572	2.68582	0.230791	0	965.976	874.482	2.50751E-14	0.151637	1.14832E-17	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8775	21.803	15.4	12.782	4.71239	270	24.9379	11.8775	0	37.8718	1.57599E-15	8.38253	0.230784	2.69564	2.68574	0.230784	0	965.919	874.426	3.74794E-14	0.151628	9.91156E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8772	21.8024	15.4	12.782	4.71239	270	24.9384	11.8772	0	37.8693	1.67045E-15	8.3822	0.230777	2.69556	2.68566	0.230777	0	965.861	874.371	4.98837E-14	0.151618	8.33989E-18	0	150.5	0	0	0	0.55	0	100	10000	0	
11.8753	21.799	15.4	12.782	4.71239	270	24.9326	11.8753	0	37.8758	1.66248E-15	8.38769	0.231937	2.69524	2.68525	0.231937	0	965.716	874.282	5.12716E-14	0.15159	9.89872E-18	0	150.25	0	0	0	0.55	0	100	10000	0	
11.8735	21.7956	15.4	12.782	4.71239	270	24.9268	11.8735	0	37.8822	1.65452E-15	8.39318	0.233097	2.69493	2.68483	0.233097	0	965.571	874.193	5.26595E-14	0.151562	1.14575E-17	0	150	0	0	0	0.55	0	100	10000	0	
11.8702	21.7896	15.4	12.782	4.71239	270	24.9188	11.8702	0	37.9142	1.86819E-15	8.417	0.23669	2.69451	2.68409	0.23669	0	965.514	874.2	4.6783E-14	0.151525	1.71001E-17	0	149.25	0	0	0	0.55	0	100	10000	0	
11.8669	21.7836	15.4	12.782	4.71239	270	24.9107	11.8669	0	37.9461	2.08186E-15	8.44082	0.240284	2.69409	2.68335	0.240284	0	965.457	874.208	4.09064E-14	0.151488	2.27427E-17	0	148.5	0	0	0	0.55	0	100	10000	0	
11.8631	21.7765	15.4	12.782	4.68929	270	24.9066	11.8631	0	37.993	2.3362E-15	8.47744	0.24523	2.69367	2.68247	0.24523	0	965.49	874.268	4.42115E-14	0.151446	2.01145E-17	0	147.5	0	0	0	0.55	0	100	10000	0	
11.8592	21.7694	15.4	12.782	4.66619	270	24.9025	11.8592	0	38.0398	2.59054E-15	8.51405	0.250175	2.69325	2.6816	0.250175	0	965.523	874.328	4.75167E-14	0.151404	1.74862E-17	0	146.5	0	0	0	0.55	0	100	10000	0	
11.8548	21.7614	15.4	12.782	4.64309	270	24.8979	11.8548	0	38.0882	2.49375E-15	8.55253	0.255307	2.69275	2.68061	0.255307	0	965.517	874.356	4.27299E-14	0.151355	1.64956E-17	0	145.5	0	0	0	0.55	0	100	10000	0	
11.8505	21.7534	15.4	12.782	4.61999	270	24.8934	11.8505	0	38.1366	2.39696E-15	8.591	0.26044	2.69226	2.67963	0.26044	0	965.511	874.383	3.7943E-14	0.151305	1.55049E-17	0	144.5	0	0	0	0.55	0	100	10000	0	
11.8457	21.7447	15.4	12.782	4.61999	270	24.8884	11.8457	2.06795E-25	38.1875	2.58053E-15	8.63165	0.265768	2.69172	2.67856	0.265768	0	965.483	874.394	3.46176E-14	0.151251	1.65883E-17	0	143.5	0	0	0	0.55	0	100	10000	0	
11.841	21.736	15.4	12.782	4.61999	270	24.8834	11.841	4.1359E-25	38.2383	2.7641E-15	8.67229	0.271096	2.69118	2.67748	0.271096	0	965.455	874.406	3.12923E-14	0.151196	1.76716E-17	0	142.5	0	0	0	0.55	0	100	10000	0	
11.8359	21.7267	15.4	12.782	4.61999	270	24.8779	11.8359	-8.27181E-25	38.2922	2.53373E-15	8.71532	0.276627	2.69061	2.67634	0.276627	0	965.416	874.41	2.95053E-14	0.151139	1.67297E-17	0	141.5	0	0	0	0.55	0	100	10000	0	
11.8309	21.7174	15.4	12.782	4.61999	270	24.8725	11.8309	-1.86116E-24	38.346	2.30336E-15	8.75835	0.282159	2.69004	2.67519	0.282159	0	965.377	874.415	2.77183E-14	0.151082	1.57878E-17	0	140.5	0	0	0	0.55	0	100	10000	0	
11.8255	21.7075	15.4	12.782	4.61999	270	24.8666	11.8255	1.65436E-24	38.4032	1.83116E-15	8.80395	0.287901	2.68944	2.67397	0.287901	0	965.33	874.416	2.56684E-14	0.151023	1.37736E-17	0	139.5	0	0	0	0.55	0	100	10000	0	
